"spkid","full_name","pha","epoch","e","a","i","om","w","ma","per"
20003752,"  3752 Camillo (1985 PA)",N,2460600.5,0.3016,1.414,55.56,147.96,312.22,8.79,614
20003753,"  3753 Cruithne (1986 TO)",N,2460600.5,0.5148,0.9978,19.80,126.19,43.88,308.80,364
20003757,"  3757 Anagolay (1982 XB)",Y,2460600.5,0.4459,1.834,3.87,74.93,17.24,293.70,908
20003838,"  3838 Epona (1986 WA)",N,2460600.5,0.7027,1.505,29.20,235.47,49.72,225.76,674
20003908,"  3908 Nyx (1980 PA)",N,2460600.5,0.4592,1.928,2.19,261.20,126.65,165.71,978
20003988,"  3988 Huma (1986 LA)",N,2460600.5,0.3166,1.545,10.77,229.79,86.91,316.36,701
20004015,"  4015 Wilson-Harrington (1979 VA)",Y,2460600.5,0.6312,2.626,2.80,266.73,95.52,181.75,1.55e+03
20004034,"  4034 Vishnu (1986 PA)",Y,2460600.5,0.4441,1.06,11.17,157.89,296.70,260.40,398
20004055,"  4055 Magellan (1985 DO2)",N,2460600.5,0.3261,1.82,23.25,164.82,154.38,267.34,897
20004179,"  4179 Toutatis (1989 AC)",Y,2460600.5,0.6248,2.543,0.45,125.36,277.88,339.68,1.48e+03
20004183,"  4183 Cuno (1959 LM)",Y,2460600.5,0.6361,1.981,6.67,294.35,237.02,175.91,1.02e+03
20004197,"  4197 Morpheus (1982 TA)",N,2460600.5,0.7724,2.295,12.60,7.01,122.55,357.11,1.27e+03
20004257,"  4257 Ubasti (1987 QA)",N,2460600.5,0.4683,1.647,40.72,169.15,278.94,160.95,772
20004341,"  4341 Poseidon (1987 KF)",N,2460600.5,0.6800,1.834,11.84,108.03,15.83,44.04,907
20004401,"  4401 Aditi (1985 TB)",N,2460600.5,0.5633,2.584,26.63,22.78,68.15,133.50,1.52e+03
20004450,"  4450 Pan (1987 SY)",Y,2460600.5,0.5866,1.443,5.52,311.70,291.94,192.17,633
20004486,"  4486 Mithra (1987 SB)",Y,2460600.5,0.6620,2.205,3.04,82.18,169.12,156.61,1.2e+03
20004487,"  4487 Pocahontas (1987 UA)",N,2460600.5,0.2966,1.73,16.41,198.10,173.99,95.85,831
20004503,"  4503 Cleobulus (1989 WM)",N,2460600.5,0.5247,2.703,2.51,45.94,76.25,287.79,1.62e+03
20004544,"  4544 Xanthus (1989 FB)",N,2460600.5,0.2501,1.042,14.14,23.95,333.83,354.50,388
20004581,"  4581 Asclepius (1989 FC)",Y,2460600.5,0.3570,1.023,4.92,180.20,255.38,212.12,378
20004596,"  4596 (1981 QB)",N,2460600.5,0.5200,2.24,37.07,154.19,248.42,290.19,1.22e+03
20004660,"  4660 Nereus (1982 DB)",Y,2460600.5,0.3587,1.485,1.45,313.11,159.54,191.96,661
20004688,"  4688 (1980 WF)",N,2460600.5,0.5179,2.232,6.38,241.23,213.80,45.35,1.22e+03
20004769,"  4769 Castalia (1989 PB)",Y,2460600.5,0.4832,1.063,8.88,325.51,121.44,324.11,400
20004947,"  4947 Ninkasi (1988 TJ1)",N,2460600.5,0.1685,1.37,15.65,215.43,192.93,144.57,586
20004953,"  4953 (1990 MU)",Y,2460600.5,0.6574,1.621,24.38,77.53,77.93,285.02,754
20004954,"  4954 Eric (1990 SQ)",N,2460600.5,0.4494,2.001,17.43,358.41,52.62,347.92,1.03e+03
20004957,"  4957 Brucemurray (1990 XJ)",N,2460600.5,0.2189,1.565,35.01,254.88,97.48,150.48,715
20005011,"  5011 Ptah (6743 P-L)",Y,2460600.5,0.5001,1.636,7.41,10.63,105.94,173.66,764
20005131,"  5131 (1990 BG)",N,2460600.5,0.5692,1.486,36.44,110.34,135.87,358.09,662
20005143,"  5143 Heracles (1991 VL)",N,2460600.5,0.7710,1.835,8.98,309.09,228.22,45.49,908
20005189,"  5189 (1990 UQ)",Y,2460600.5,0.4783,1.552,3.58,135.05,159.95,257.64,706
20005324,"  5324 Lyapunov (1987 SL)",N,2460600.5,0.6052,2.982,19.62,352.16,321.13,101.93,1.88e+03
20005332,"  5332 Davidaguilar (1990 DA)",N,2460600.5,0.4557,2.163,25.52,142.77,306.07,339.58,1.16e+03
20005370,"  5370 Taranis (1986 RA)",N,2460600.5,0.6370,3.319,19.17,177.79,161.31,90.75,2.21e+03
20005381,"  5381 Sekhmet (1991 JY)",N,2460600.5,0.2964,0.9475,48.97,58.53,37.42,199.13,337
20005496,"  5496 (1973 NA)",N,2460600.5,0.6350,2.435,68.00,101.04,117.98,195.45,1.39e+03
20005587,"  5587 (1990 SB)",N,2460600.5,0.5441,2.4,18.07,189.85,86.96,103.89,1.36e+03
20005590,"  5590 (1990 VA)",N,2460600.5,0.2802,0.9864,14.18,216.26,34.47,25.89,358
20005604,"  5604 (1992 FE)",Y,2460600.5,0.4061,0.9286,4.71,311.89,82.68,269.92,327
20005620,"  5620 Jasonwheeler (1990 OA)",N,2460600.5,0.4228,2.159,7.87,128.65,153.76,292.11,1.16e+03
20005626,"  5626 Melissabrucker (1991 FE)",N,2460600.5,0.4547,2.195,3.85,173.10,231.87,200.05,1.19e+03
20005645,"  5645 (1990 SP)",N,2460600.5,0.3873,1.355,13.51,45.71,48.27,164.51,576
20005646,"  5646 (1990 TR)",N,2460600.5,0.4357,2.144,7.91,14.10,335.77,314.96,1.15e+03
20005653,"  5653 Camarillo (1992 WD5)",N,2460600.5,0.3042,1.794,6.87,9.89,122.62,63.97,878
20005660,"  5660 (1974 MA)",N,2460600.5,0.7621,1.785,38.14,302.12,127.04,358.08,871
20005693,"  5693 (1993 EA)",Y,2460600.5,0.5851,1.271,5.06,96.98,258.98,203.14,523
20005731,"  5731 Zeus (1988 VP4)",N,2460600.5,0.6521,2.266,11.20,280.59,218.43,166.28,1.25e+03
20005751,"  5751 Zao (1992 AC)",N,2460600.5,0.4254,2.101,16.07,121.63,25.46,254.35,1.11e+03
20005786,"  5786 Talos (1991 RC)",N,2460600.5,0.8268,1.081,23.22,161.28,8.39,277.56,411
20005797,"  5797 Bivoj (1980 AA)",N,2460600.5,0.4443,1.894,4.19,298.92,168.64,69.36,952
20005828,"  5828 (1991 AM)",N,2460600.5,0.6949,1.698,30.12,125.42,152.77,57.64,808
20005836,"  5836 (1993 MF)",N,2460600.5,0.5365,2.441,7.94,238.71,78.09,59.58,1.39e+03
20005863,"  5863 Tara (1983 RB)",N,2460600.5,0.5065,2.222,19.49,168.76,115.62,166.87,1.21e+03
20005869,"  5869 Tanith (1988 VN4)",N,2460600.5,0.3213,1.812,17.93,227.85,230.86,232.38,891
20005879,"  5879 Almeria (1992 CH1)",N,2460600.5,0.2892,1.625,21.57,145.83,355.78,283.14,756
20006037,"  6037 (1988 EG)",Y,2460600.5,0.4997,1.272,3.51,182.18,242.32,249.72,524
20006047,"  6047 (1991 TB1)",N,2460600.5,0.3521,1.455,23.47,6.07,103.82,242.40,641
20006050,"  6050 Miwablock (1992 AE)",N,2460600.5,0.4372,2.202,6.41,88.15,285.05,33.19,1.19e+03
20006053,"  6053 (1993 BW3)",N,2460600.5,0.5287,2.147,21.58,318.23,74.93,82.05,1.15e+03
20006063,"  6063 Jason (1984 KB)",N,2460600.5,0.7622,2.22,4.96,169.03,337.61,99.90,1.21e+03
20006178,"  6178 (1986 DA)",N,2460600.5,0.5845,2.815,4.31,64.49,127.48,54.83,1.72e+03
20006239,"  6239 Minos (1989 QF)",Y,2460600.5,0.4126,1.151,3.94,344.53,239.77,224.50,451
20006455,"  6455 (1992 HE)",N,2460600.5,0.5728,2.24,37.34,26.89,262.75,230.08,1.22e+03
20006456,"  6456 Golombek (1992 OM)",N,2460600.5,0.4090,2.193,8.22,313.57,347.10,335.09,1.19e+03
20006489,"  6489 Golevka (1991 JX)",Y,2460600.5,0.6151,2.484,2.27,209.42,68.66,151.88,1.43e+03
20006491,"  6491 (1991 OA)",Y,2460600.5,0.5917,2.506,6.00,301.00,324.73,142.22,1.45e+03
20006569,"  6569 Ondaatje (1993 MO)",N,2460600.5,0.2209,1.626,22.64,111.46,167.30,29.09,757
20006611,"  6611 (1993 VW)",N,2460600.5,0.4846,1.696,8.70,230.77,281.59,315.03,807
20007025,"  7025 (1993 QA)",N,2460600.5,0.3150,1.476,12.61,146.59,323.45,14.75,655
20007088,"  7088 Ishtar (1992 AA)",N,2460600.5,0.3903,1.981,8.30,102.61,354.78,271.76,1.02e+03
20007092,"  7092 Cadmus (1992 LC)",N,2460600.5,0.6935,2.545,17.79,56.72,94.77,30.55,1.48e+03
20007236,"  7236 (1987 PA)",N,2460600.5,0.5598,2.727,16.37,308.24,338.24,106.90,1.64e+03
20007335,"  7335 (1989 JA)",Y,2460600.5,0.4846,1.772,15.17,61.28,232.27,349.17,862
20007336,"  7336 Saunders (1989 RS1)",N,2460600.5,0.4815,2.306,7.20,174.46,181.56,5.75,1.28e+03
20007341,"  7341 (1991 VK)",Y,2460600.5,0.5061,1.841,5.41,294.73,173.48,37.89,913
20007350,"  7350 (1993 VA)",N,2460600.5,0.3911,1.356,7.26,133.05,336.70,183.75,577
20007358,"  7358 Oze (1995 YA3)",N,2460600.5,0.5020,2.199,4.66,265.42,92.31,351.77,1.19e+03
20007474,"  7474 (1992 TC)",N,2460600.5,0.2923,1.565,7.09,88.60,275.65,129.54,715
20007480,"  7480 Norwan (1994 PC)",N,2460600.5,0.3171,1.568,9.45,124.36,256.87,98.18,717
20007482,"  7482 (1994 PC1)",Y,2460600.5,0.3294,1.349,33.47,117.85,47.49,246.56,572
20007753,"  7753 (1988 XB)",Y,2460600.5,0.4817,1.467,3.12,73.39,280.08,95.85,649
20007822,"  7822 (1991 CS)",Y,2460600.5,0.1646,1.123,37.12,156.84,249.45,182.35,435
20007839,"  7839 (1994 ND)",N,2460600.5,0.5187,2.165,27.12,102.51,228.32,167.97,1.16e+03
20007888,"  7888 (1993 UC)",N,2460600.5,0.6631,2.438,26.07,165.89,323.01,24.14,1.39e+03
20007889,"  7889 (1994 LX)",N,2460600.5,0.3463,1.262,36.91,111.26,349.18,337.10,518
20007977,"  7977 (1977 QQ5)",N,2460600.5,0.4664,2.226,25.17,134.13,248.11,53.30,1.21e+03
20008013,"  8013 Gordonmoore (1990 KA)",N,2460600.5,0.4316,2.202,7.59,105.36,147.20,190.80,1.19e+03
20008014,"  8014 (1990 MF)",Y,2460600.5,0.4560,1.747,1.87,209.84,114.73,291.48,844
