"spkid","full_name","epoch","e","a","i","om","w","ma","per"
20452807,"452807 (2006 KV89)",2460600.5,0.2726,1.15,3.55,71.69,87.81,19.64,450
20453563,"453563 (2010 BB)",2460600.5,0.2775,0.8201,10.02,279.70,29.00,82.29,271
20453707,"453707 (2010 XY72)",2460600.5,0.2287,1.133,31.48,34.42,307.01,210.45,441
20453729,"453729 (2011 BO24)",2460600.5,0.2780,1.381,20.37,91.47,178.61,40.06,593
20453778,"453778 (2011 JK)",2460600.5,0.4646,1.911,6.70,203.31,11.10,22.86,965
20454094,"454094 (2013 BZ45)",2460600.5,0.1448,1.015,11.85,131.05,98.76,96.20,374
20454100,"454100 (2013 BO73)",2460600.5,0.4182,1.331,4.54,24.78,298.15,356.14,561
20454101,"454101 (2013 BP73)",2460600.5,0.6287,1.328,6.85,80.03,251.89,323.38,559
20455148,"455148 (1994 UG)",2460600.5,0.2929,1.239,5.21,13.60,225.47,42.93,504
20455176,"455176 (1999 VF22)",2460600.5,0.7388,1.313,3.92,3.22,271.98,243.48,549
20455184,"455184 (2000 ED14)",2460600.5,0.5666,0.835,13.78,3.87,310.12,2.21,279
20455299,"455299 (2002 EL6)",2460600.5,0.5779,2.304,9.53,84.87,186.71,145.71,1.28e+03
20455687,"455687 (2005 EK94)",2460600.5,0.4805,1.978,14.19,103.00,154.96,345.29,1.02e+03
20456938,"456938 (2007 YV56)",2460600.5,0.6221,1.576,6.24,102.36,265.75,203.84,723
20457662,"457662 (2009 DZ)",2460600.5,0.3021,1.453,14.11,151.44,335.89,349.33,640
20457768,"457768 (2009 KN4)",2460600.5,0.5247,1.941,9.14,308.21,38.35,219.58,988
20458116,"458116 (2010 DA)",2460600.5,0.5657,1.03,20.54,162.31,122.24,285.48,382
20458122,"458122 (2010 EW45)",2460600.5,0.6690,2.067,2.12,232.92,135.58,353.60,1.09e+03
20458418,"458418 (2011 AM12)",2460600.5,0.5377,1.854,38.50,124.76,237.74,199.81,922
20458436,"458436 (2011 AL52)",2460600.5,0.6363,2.802,13.44,272.70,171.76,325.38,1.71e+03
20458723,"458723 (2011 KQ12)",2460600.5,0.5030,1.811,19.29,83.61,142.91,174.35,890
20459683,"459683 (2013 MY5)",2460600.5,0.4532,1.662,3.00,102.88,279.04,61.87,783
20461852,"461852 (2006 GY2)",2460600.5,0.4959,1.858,30.56,54.29,216.73,87.41,925
20462238,"462238 (2008 CN1)",2460600.5,0.3477,0.7707,7.22,331.46,7.26,26.27,247
20462550,"462550 (2009 CB3)",2460600.5,0.7237,1.065,21.50,158.73,229.52,148.11,401
20462959,"462959 (2011 DU)",2460600.5,0.3178,1.172,2.95,176.87,120.20,164.01,463
20463387,"463387 (2013 CT82)",2460600.5,0.6248,2.085,1.80,271.38,90.54,30.03,1.1e+03
20465617,"465617 (2009 EK1)",2460600.5,0.2290,1.241,9.12,358.38,21.87,230.00,505
20465633,"465633 (2009 JR5)",2460600.5,0.3514,1.252,3.95,128.18,309.95,139.11,512
20465824,"465824 (2010 FR)",2460600.5,0.3654,1.131,14.24,167.27,272.73,98.40,440
20465826,"465826 (2010 GA24)",2460600.5,0.5468,2.097,7.68,30.66,237.57,261.43,1.11e+03
20465892,"465892 (2010 UT7)",2460600.5,0.6605,1.584,25.43,65.75,277.34,28.06,728
20466130,"466130 (2012 FZ23)",2460600.5,0.6104,2.483,75.62,179.33,358.13,71.08,1.43e+03
20466508,"466508 (2014 GY48)",2460600.5,0.4187,1.61,39.63,37.62,212.80,29.81,746
20467309,"467309 (1996 AW1)",2460600.5,0.5181,1.534,4.77,117.51,229.45,90.28,694
20467317,"467317 (2000 QW7)",2460600.5,0.4687,1.949,4.15,158.55,190.99,314.00,994
20467336,"467336 (2002 LT38)",2460600.5,0.3137,0.8452,6.18,259.27,162.78,120.77,284
20467351,"467351 (2003 KO2)",2460600.5,0.5108,0.7277,23.49,215.47,204.04,351.18,227
20467460,"467460 (2006 JF42)",2460600.5,0.5819,0.6715,5.94,40.83,17.80,307.85,201
20468005,"468005 (2012 XD112)",2460600.5,0.3658,1.323,3.72,97.77,76.79,234.88,556
20468468,"468468 (2004 KH17)",2460600.5,0.4982,0.7121,22.13,79.12,340.72,176.08,220
20468727,"468727 (2010 JE87)",2460600.5,0.4370,0.9042,16.91,120.47,242.31,194.33,314
20468910,"468910 (2014 KQ76)",2460600.5,0.4233,1.007,4.77,127.63,325.15,232.41,369
20469896,"469896 (2005 WC1)",2460600.5,0.4865,1.401,19.98,264.94,256.82,102.44,605
20470310,"470310 (2007 LB15)",2460600.5,0.3952,0.9383,25.19,262.77,237.36,128.01,332
20471240,"471240 (2011 BT15)",2460600.5,0.3024,1.293,1.66,105.35,308.81,147.30,537
20471241,"471241 (2011 BX18)",2460600.5,0.7312,2.872,14.62,310.56,304.22,253.95,1.78e+03
20471323,"471323 (2011 KW15)",2460600.5,0.4938,1.17,23.66,283.35,97.52,143.20,462
20471926,"471926 Jormungandr (2013 KN6)",2460600.5,0.8508,1.466,23.54,229.42,232.53,183.06,648
20474158,"474158 (1999 FA)",2460600.5,0.1327,1.078,12.03,166.08,296.99,5.21,409
20474163,"474163 (1999 SO5)",2460600.5,0.0653,1.086,13.37,196.06,359.70,214.77,413
20474231,"474231 (2001 HZ7)",2460600.5,0.4983,1.47,5.43,156.28,312.87,112.39,651
20475534,"475534 (2006 TS7)",2460600.5,0.5803,0.9467,5.50,225.14,300.05,111.86,336
20476601,"476601 (2008 SE85)",2460600.5,0.5251,1.626,29.61,177.42,294.90,228.98,757
20477162,"477162 (2009 ES)",2460600.5,0.3293,1.436,30.33,343.71,311.18,280.63,629
20477465,"477465 (2009 XZ1)",2460600.5,0.5339,0.8557,8.16,81.97,153.01,149.53,289
20477519,"477519 (2010 DJ56)",2460600.5,0.2453,1.25,34.84,149.91,309.28,231.65,510
20478574,"478574 (2012 TS78)",2460600.5,0.3818,1.608,32.67,8.27,196.78,123.69,745
20480808,"480808 (1994 XL1)",2460600.5,0.5262,0.6709,28.17,252.65,356.58,319.43,201
20480820,"480820 (1998 VF32)",2460600.5,0.4438,0.8508,23.75,236.25,320.96,264.19,287
20480822,"480822 (1998 YM4)",2460600.5,0.7196,1.477,3.43,341.75,344.56,176.01,655
20480858,"480858 (2001 PT9)",2460600.5,0.4552,1.468,7.18,329.97,261.65,51.99,650
20480883,"480883 (2001 YE4)",2460600.5,0.5404,0.6769,4.85,305.32,318.98,205.22,203
20480936,"480936 (2003 QH5)",2460600.5,0.2202,1.26,17.62,299.21,321.16,27.81,516
20481394,"481394 (2006 SF6)",2460600.5,0.2805,0.9501,5.84,227.96,305.58,21.90,338
20481457,"481457 (2006 XD2)",2460600.5,0.4251,1.267,3.56,65.59,109.53,136.97,521
20481482,"481482 (2007 CA19)",2460600.5,0.8215,2.808,9.60,169.92,102.60,256.19,1.72e+03
20481532,"481532 (2007 LE)",2460600.5,0.5157,1.839,29.55,73.62,120.28,4.16,911
20481817,"481817 (2008 UL90)",2460600.5,0.3799,0.695,24.31,81.13,183.67,2.40,212
20482250,"482250 (2011 LL2)",2460600.5,0.0965,1.134,24.68,68.23,163.63,38.75,441
20482344,"482344 (2011 WL15)",2460600.5,0.2819,1.352,18.39,72.91,170.72,234.60,574
20482467,"482467 (2012 LK9)",2460600.5,0.6197,2.512,10.14,61.84,314.59,350.14,1.45e+03
20482488,"482488 (2012 SW20)",2460600.5,0.6785,2.462,10.16,209.59,62.39,63.97,1.41e+03
20482650,"482650 (2013 BK18)",2460600.5,0.4947,1.626,28.88,137.69,64.68,217.81,758
20482766,"482766 (2013 GF69)",2460600.5,0.4976,1.967,10.01,174.89,153.19,357.04,1.01e+03
20482796,"482796 (2013 QJ10)",2460600.5,0.4251,0.9592,18.15,327.43,243.87,31.68,343
20482798,"482798 (2013 QK48)",2460600.5,0.8298,1.586,18.97,141.41,47.18,269.75,729
20483422,"483422 (2000 CE59)",2460600.5,0.1668,1.138,12.26,318.62,307.53,16.23,443
20483423,"483423 (2000 DO1)",2460600.5,0.6818,1.43,3.46,335.78,302.82,110.43,625
20483432,"483432 (2001 DF47)",2460600.5,0.3708,1.215,18.47,146.62,260.28,293.85,489
20483508,"483508 (2003 CR1)",2460600.5,0.4628,1.453,12.72,310.93,101.97,179.82,639
20483560,"483560 (2004 BV1)",2460600.5,0.3673,1.463,12.16,96.74,223.28,16.85,646
20483989,"483989 (2006 CY10)",2460600.5,0.4841,1.96,6.77,32.50,167.39,274.89,1e+03
20484402,"484402 (2007 XH16)",2460600.5,0.2348,1.187,27.43,91.27,58.32,323.00,472
20484506,"484506 (2008 ER7)",2460600.5,0.6241,1.486,2.24,323.41,81.04,117.92,662
20484517,"484517 (2008 EC69)",2460600.5,0.6194,2.752,24.84,93.22,178.15,208.03,1.67e+03
20484976,"484976 (2009 UN3)",2460600.5,0.5756,2.328,37.43,141.96,338.75,54.94,1.3e+03
20485652,"485652 (2011 WO41)",2460600.5,0.7292,3.024,20.14,111.08,126.39,150.80,1.92e+03
20487577,"487577 (2014 YQ15)",2460600.5,0.2358,0.9638,10.92,81.83,252.34,230.94,346
20488453,"488453 (1994 XD)",2460600.5,0.7337,2.344,4.33,96.02,249.55,122.74,1.31e+03
20488490,"488490 (2000 AF205)",2460600.5,0.2770,1.035,2.41,219.90,127.51,292.48,384
20488515,"488515 (2001 FE90)",2460600.5,0.4952,1.935,8.81,98.38,145.42,256.64,983
20488789,"488789 (2004 XK50)",2460600.5,0.6886,1.451,38.23,94.05,104.02,88.88,638
20489486,"489486 (2007 GS3)",2460600.5,0.1291,1.061,15.09,215.39,61.07,306.17,399
20490354,"490354 (2009 FF19)",2460600.5,0.4092,1.213,0.56,84.88,244.81,127.29,488
20490581,"490581 (2009 WZ104)",2460600.5,0.1927,0.8553,9.84,263.25,10.56,71.51,289
20494658,"494658 (2000 UG11)",2460600.5,0.5718,1.929,8.91,223.91,240.87,322.34,979
20494690,"494690 (2004 JQ1)",2460600.5,0.4500,1.193,32.83,77.05,272.66,168.24,476
20494697,"494697 (2004 SW55)",2460600.5,0.3340,1.428,8.79,75.12,352.85,241.22,623
20494710,"494710 (2005 MO13)",2460600.5,0.4108,0.8636,6.32,176.57,250.22,251.77,293
20494975,"494975 (2009 WO106)",2460600.5,0.3853,1.374,17.35,281.69,134.68,105.64,588
20494999,"494999 (2010 JU39)",2460600.5,0.5461,0.9191,36.22,95.16,311.38,294.11,322
20495187,"495187 (2012 VO76)",2460600.5,0.2150,1.204,36.95,229.47,297.36,272.72,483
20496005,"496005 (2007 XJ16)",2460600.5,0.5563,2.258,6.23,309.06,32.99,32.92,1.24e+03
20496013,"496013 (2008 EL6)",2460600.5,0.4810,1.728,13.14,177.66,38.41,93.80,830
20496816,"496816 (1989 UP)",2460600.5,0.4722,1.862,3.85,53.16,17.82,256.52,928
20496817,"496817 (1989 VB)",2460600.5,0.4601,1.862,2.18,37.85,330.92,278.40,928
20496860,"496860 (1999 XL136)",2460600.5,0.6465,1.819,8.91,269.97,275.47,28.38,896
20496901,"496901 (2001 HB)",2460600.5,0.6940,1.314,9.28,195.82,238.00,260.14,550
20497117,"497117 (2004 FU4)",2460600.5,0.2639,1.26,23.25,31.56,46.31,296.47,517
20499582,"499582 (2010 TH19)",2460600.5,0.3101,1.464,6.83,254.20,201.50,277.30,647
20500080,"500080 (2011 WV134)",2460600.5,0.6753,2.795,6.02,157.64,25.90,250.63,1.71e+03
20503861,"503861 (1998 WZ1)",2460600.5,0.5566,2.163,4.31,344.84,137.37,35.72,1.16e+03
20503941,"503941 (2003 UV11)",2460600.5,0.7626,1.453,5.93,31.78,124.95,324.10,640
20504034,"504034 (2005 UJ159)",2460600.5,0.8317,3.343,35.61,80.25,95.79,26.44,2.23e+03
20504256,"504256 (2006 VD13)",2460600.5,0.4837,1.948,11.71,313.94,162.89,185.93,993
20504680,"504680 (2009 EO2)",2460600.5,0.4807,1.712,11.48,264.63,220.60,2.81,818
20504800,"504800 (2010 CO1)",2460600.5,0.2179,1.013,24.02,351.56,252.71,78.84,372
20505178,"505178 (2012 TV78)",2460600.5,0.5488,1.816,7.47,251.75,244.94,268.57,894
20505657,"505657 (2014 SR339)",2460600.5,0.3038,1.299,29.79,138.74,299.64,217.16,541
20506074,"506074 Svarog (2015 UM67)",2460600.5,0.6874,1.558,6.01,150.02,132.27,247.70,710
20506491,"506491 (2003 UW29)",2460600.5,0.8386,1.17,3.76,196.48,55.27,255.96,462
20506732,"506732 (2006 VW2)",2460600.5,0.2944,1.236,10.05,229.77,299.68,290.05,502
20506859,"506859 (2007 VW137)",2460600.5,0.7348,2.236,5.83,297.40,247.48,351.64,1.22e+03
20507716,"507716 (2013 UP8)",2460600.5,0.6191,2.535,47.83,55.16,187.36,318.58,1.47e+03
20508774,"508774 (1999 JE1)",2460600.5,0.7017,1.323,20.91,53.06,302.74,214.12,556
20508908,"508908 (2003 YX1)",2460600.5,0.2670,0.8797,5.76,89.62,223.14,197.32,301
20508967,"508967 (2004 VC17)",2460600.5,0.8109,1.895,20.40,229.17,65.16,247.56,953
20509191,"509191 (2006 OC5)",2460600.5,0.6521,2.402,4.74,149.09,245.80,305.36,1.36e+03
20509352,"509352 (2007 AG)",2460600.5,0.3741,0.7206,11.95,283.22,5.71,192.55,223
20509456,"509456 (2007 LF)",2460600.5,0.4198,1.682,6.99,239.39,333.92,359.45,797
20509821,"509821 (2008 WQ63)",2460600.5,0.6071,1.734,0.92,317.08,229.02,308.58,834
20509935,"509935 (2009 QL8)",2460600.5,0.5409,1.931,4.24,84.47,339.66,202.68,980
20510055,"510055 (2010 FH81)",2460600.5,0.2105,1.226,16.80,84.60,158.31,223.80,496
20510529,"510529 (2012 EY11)",2460600.5,0.1508,1.148,9.02,167.58,238.88,185.06,450
20511008,"511008 (2013 PX6)",2460600.5,0.6515,2.597,13.66,187.37,229.70,225.56,1.53e+03
20511684,"511684 (2015 BN509)",2460600.5,0.5685,1.007,4.15,120.08,143.20,166.20,369
20512234,"512234 (2015 VO66)",2460600.5,0.6000,0.9522,14.02,64.46,219.30,291.01,339
20513126,"513126 (1998 QP)",2460600.5,0.5826,1.786,9.35,326.43,78.46,325.88,872
20513171,"513171 (2004 MD6)",2460600.5,0.5630,0.9509,29.32,263.84,231.46,47.22,339
20513312,"513312 (2007 DM41)",2460600.5,0.5278,1.181,2.26,1.70,274.49,211.78,469
20513489,"513489 (2009 EV)",2460600.5,0.5235,1.728,17.00,138.55,250.28,25.45,830
20514150,"514150 (2015 KJ57)",2460600.5,0.4039,1.559,2.63,14.40,336.45,239.72,711
20514568,"514568 (1994 RC)",2460600.5,0.6036,2.264,4.76,344.25,286.54,313.52,1.24e+03
20514596,"514596 (2003 FG)",2460600.5,0.7150,1.241,15.66,6.98,312.92,166.36,505
20515767,"515767 (2015 JA2)",2460600.5,0.3491,1.034,16.42,126.60,246.26,233.79,384
20516154,"516154 (2016 CL32)",2460600.5,0.4601,1.543,12.21,123.49,292.95,214.31,700
20516155,"516155 (2016 DP)",2460600.5,0.4771,1.023,13.33,54.36,254.01,32.94,378
20517103,"517103 (2013 EM20)",2460600.5,0.3179,1.371,8.36,73.88,350.16,157.18,587
20517681,"517681 (2015 DE198)",2460600.5,0.5832,2.063,12.26,33.23,218.11,50.47,1.08e+03
20518640,"518640 (2008 KZ5)",2460600.5,0.4545,1.844,8.36,142.55,194.42,160.69,914
20518678,"518678 (2008 UZ94)",2460600.5,0.5725,2.191,30.25,248.22,159.72,322.94,1.18e+03
20518810,"518810 (2010 CF19)",2460600.5,0.2700,1.193,7.18,154.71,265.31,142.87,476
20518847,"518847 (2010 DM)",2460600.5,0.8399,2.081,5.00,140.75,221.04,8.79,1.1e+03
20522684,"522684 (2016 JP)",2460600.5,0.3836,0.9939,11.33,202.55,255.63,264.69,362
20523589,"523589 (2001 HA4)",2460600.5,0.7934,2.69,17.18,354.01,95.66,134.96,1.61e+03
20523598,"523598 (2003 ED50)",2460600.5,0.5470,1.416,33.72,173.48,94.01,258.77,616
20523606,"523606 (2005 CJ)",2460600.5,0.5256,1.75,1.08,357.82,81.99,203.33,845
20523609,"523609 (2005 PJ2)",2460600.5,0.6594,1.198,17.42,326.43,128.89,169.53,479
20523623,"523623 (2008 CB22)",2460600.5,0.6533,2.365,7.27,51.17,33.42,227.64,1.33e+03
20523630,"523630 (2009 OG)",2460600.5,0.8586,2.706,48.39,309.33,114.20,137.74,1.63e+03
20523650,"523650 (2011 GQ61)",2460600.5,0.4121,1.59,65.16,333.51,155.09,279.23,732
20523654,"523654 (2011 SR5)",2460600.5,0.7057,1.178,29.13,180.10,305.55,36.93,467
20523656,"523656 (2011 WO4)",2460600.5,0.4977,1.738,60.94,225.18,235.99,206.67,837
20523662,"523662 (2012 MU2)",2460600.5,0.5138,2.055,11.22,250.30,16.60,64.04,1.08e+03
20523664,"523664 (2012 OD1)",2460600.5,0.5029,0.8288,42.26,303.73,224.36,191.12,276
20523685,"523685 (2014 DN112)",2460600.5,0.4939,1.848,4.30,260.18,145.91,143.77,918
20523732,"523732 (2014 PG51)",2460600.5,0.4528,1.206,3.79,275.74,294.16,311.74,484
20523775,"523775 (2014 YB35)",2460600.5,0.4833,1.877,12.64,3.72,188.64,256.67,939
20523788,"523788 (2015 FP118)",2460600.5,0.5497,2.121,2.68,201.34,108.16,1.51,1.13e+03
20523804,"523804 (2000 YF29)",2460600.5,0.3713,1.492,6.30,124.74,28.10,355.90,666
20523808,"523808 (2007 ML24)",2460600.5,0.3584,0.7588,33.43,281.87,201.50,287.12,241
20523813,"523813 (2008 VB1)",2460600.5,0.2751,1.278,10.32,50.35,136.98,264.03,528
20523814,"523814 (2008 WN2)",2460600.5,0.3118,1.418,3.75,227.09,283.40,95.98,617
20523816,"523816 (2009 ST103)",2460600.5,0.7184,2.701,15.74,226.45,234.66,126.30,1.62e+03
20523818,"523818 (2010 SH13)",2460600.5,0.1370,1.206,13.86,190.58,11.02,13.99,484
20523820,"523820 (2011 GN44)",2460600.5,0.5976,2.245,55.01,16.93,319.39,307.31,1.23e+03
20523934,"523934 (1998 FF14)",2460600.5,0.3123,1.253,38.69,359.83,301.12,251.74,512
20523950,"523950 (1998 SZ27)",2460600.5,0.5068,0.9051,23.64,166.68,47.73,182.41,315
20524475,"524475 (2002 KJ4)",2460600.5,0.5570,2.271,27.92,75.52,155.48,207.24,1.25e+03
20524522,"524522 Zoozve (2002 VE68)",2460600.5,0.4102,0.7236,9.04,231.47,355.41,48.01,225
20524594,"524594 (2003 NW1)",2460600.5,0.6432,2.424,6.16,265.02,118.89,207.85,1.38e+03
20525229,"525229 (2004 UU1)",2460600.5,0.2732,1.226,29.97,217.76,113.63,295.27,496
20525231,"525231 (2004 VB)",2460600.5,0.4090,1.459,10.86,52.35,71.61,77.99,644
20525268,"525268 (2004 XL14)",2460600.5,0.4104,0.7595,21.46,85.60,157.59,202.64,242
20525356,"525356 (2005 BG14)",2460600.5,0.7275,1.993,21.68,94.91,281.04,24.82,1.03e+03
20525484,"525484 (2005 GL)",2460600.5,0.3063,1.056,15.90,43.61,265.35,278.68,397
20526587,"526587 (2006 TB)",2460600.5,0.3245,1.562,27.57,169.30,180.99,93.49,713
20526670,"526670 (2006 UL217)",2460600.5,0.3486,1.43,9.92,45.18,310.12,201.09,625
20526878,"526878 (2007 FE)",2460600.5,0.4570,1.794,7.00,122.62,135.21,90.40,877
20527715,"527715 (2007 YQ56)",2460600.5,0.2881,1.141,26.45,276.00,273.09,213.19,445
20528159,"528159 (2008 HS3)",2460600.5,0.2255,1.35,8.17,227.69,5.04,166.33,573
20528804,"528804 (2009 BJ58)",2460600.5,0.7127,1.849,13.02,131.14,85.94,61.52,919
20529366,"529366 (2009 WM1)",2460600.5,0.1689,1.181,25.77,240.25,162.64,241.67,468
20529668,"529668 (2010 JL33)",2460600.5,0.7350,2.677,5.38,52.45,309.89,70.72,1.6e+03
20529753,"529753 (2010 MF1)",2460600.5,0.5882,2.498,9.10,286.94,27.84,212.69,1.44e+03
20529951,"529951 (2010 UD)",2460600.5,0.2640,1.098,26.29,23.74,262.26,130.20,420
20530085,"530085 (2010 XC11)",2460600.5,0.8492,2.519,9.12,94.09,121.47,139.28,1.46e+03
20530520,"530520 (2011 LT17)",2460600.5,0.2874,1.1,20.90,83.45,270.62,146.20,421
20530974,"530974 (2012 BN11)",2460600.5,0.3950,1.457,4.36,153.71,69.77,39.68,643
20531060,"531060 (2012 DJ61)",2460600.5,0.5153,0.9176,53.63,346.27,311.96,21.87,321
20531277,"531277 (2012 MM11)",2460600.5,0.6479,2.113,3.18,245.42,124.24,341.40,1.12e+03
20531899,"531899 (2013 BE19)",2460600.5,0.2974,0.9113,31.01,309.26,311.97,65.21,318
20531914,"531914 (2013 BW76)",2460600.5,0.5337,2.058,40.36,58.22,0.56,350.41,1.08e+03
20531944,"531944 (2013 CU83)",2460600.5,0.1829,1.285,10.34,303.33,18.84,176.89,532
20533011,"533011 (2014 AY28)",2460600.5,0.2826,1.425,5.71,169.57,22.73,71.50,622
20533372,"533372 (2014 GG17)",2460600.5,0.3525,1.367,39.15,195.28,239.58,297.85,584
20533671,"533671 (2014 LJ21)",2460600.5,0.8956,2.889,24.28,126.58,302.90,51.35,1.79e+03
20533722,"533722 (2014 NE52)",2460600.5,0.6585,2.385,3.86,54.52,337.61,256.99,1.35e+03
20535844,"535844 (2015 BY310)",2460600.5,0.4008,1.587,4.79,328.41,229.53,277.70,730
20536531,"536531 (2015 DV215)",2460600.5,0.4027,1.538,13.20,13.92,41.37,73.05,697
20537395,"537395 (2015 LG2)",2460600.5,0.1817,1.26,21.29,133.11,188.91,179.81,516
20538212,"538212 (2016 CA136)",2460600.5,0.7812,2.032,1.26,239.74,125.01,18.73,1.06e+03
20539063,"539063 (2016 MK1)",2460600.5,0.7160,1.5,10.78,178.30,240.70,94.81,671
20549948,"549948 (2011 WL2)",2460600.5,0.2834,1.078,14.13,212.91,88.85,275.83,409
20551685,"551685 (2013 HT15)",2460600.5,0.4229,1.101,2.92,23.28,315.92,265.36,422
20576763,"576763 (2012 UR136)",2460600.5,0.4607,1.916,6.06,87.51,202.78,238.36,969
20585310,"585310 (2017 YZ1)",2460600.5,0.3351,1.328,20.87,277.70,298.49,99.80,559
20605070,"605070 (2016 BT39)",2460600.5,0.5382,1.968,8.96,174.97,203.19,80.29,1.01e+03
20606441,"606441 (2017 YT5)",2460600.5,0.4192,1.796,36.47,133.53,197.04,46.85,879
20612012,"612012 (1983 LC)",2460600.5,0.7146,2.603,1.56,159.69,184.90,270.70,1.53e+03
20612050,"612050 (1997 GL3)",2460600.5,0.7844,2.27,6.68,194.34,262.58,23.62,1.25e+03
20612098,"612098 (1999 RM45)",2460600.5,0.6446,1.684,10.89,162.63,88.91,215.47,798
20612143,"612143 (2000 BO28)",2460600.5,0.6003,1.699,6.34,319.73,303.41,1.98,809
20612227,"612227 (2001 QC34)",2460600.5,0.1876,1.129,6.24,271.45,215.47,332.57,438
20612267,"612267 (2001 SG286)",2460600.5,0.3474,1.358,7.77,241.11,56.28,236.56,578
20612326,"612326 (2002 CD14)",2460600.5,0.5793,1.779,2.89,127.60,141.32,149.31,867
20612337,"612337 (2002 EY2)",2460600.5,0.4866,1.725,21.73,343.39,51.10,67.64,828
20612342,"612342 (2002 FC)",2460600.5,0.6660,2.822,6.76,50.10,195.23,249.51,1.73e+03
20612348,"612348 (2002 GZ8)",2460600.5,0.6402,2.821,5.32,309.75,161.48,287.59,1.73e+03
20612356,"612356 (2002 JX8)",2460600.5,0.3057,0.7699,4.31,68.52,338.12,244.41,247
20612358,"612358 (2002 JE9)",2460600.5,0.4165,1.066,8.77,199.83,255.90,201.66,402
20612380,"612380 (2002 PF43)",2460600.5,0.3662,1.644,13.86,142.74,191.63,185.67,770
20612509,"612509 (2002 UK11)",2460600.5,0.5753,1.324,5.37,69.18,84.54,107.30,556
20612522,"612522 (2002 VP69)",2460600.5,0.5270,2.019,10.12,306.83,189.04,202.97,1.05e+03
20612536,"612536 (2003 AA3)",2460600.5,0.2893,1.421,13.78,106.38,347.03,311.80,619
20612780,"612780 (2004 MD)",2460600.5,0.5365,1.917,9.77,85.39,124.28,255.42,970
20612786,"612786 (2004 PJ2)",2460600.5,0.3421,1.418,2.58,317.10,281.78,23.99,617
20612813,"612813 (2004 RF84)",2460600.5,0.6038,2.164,23.29,344.52,122.61,71.76,1.16e+03
20612856,"612856 (2004 TP1)",2460600.5,0.3892,1.291,7.49,30.02,87.86,182.75,536
20612901,"612901 (2004 XP14)",2460600.5,0.1586,1.052,32.95,281.01,273.74,54.12,394
20612924,"612924 (2005 CL)",2460600.5,0.7547,1.986,4.45,318.37,298.57,338.02,1.02e+03
20612989,"612989 (2005 LW39)",2460600.5,0.7156,1.988,28.47,251.45,275.19,341.28,1.02e+03
20613286,"613286 (2005 YQ96)",2460600.5,0.3336,0.7434,22.23,282.66,340.14,314.69,234
20613403,"613403 (2006 GB)",2460600.5,0.1795,0.9585,10.07,183.68,242.92,8.63,343
20613450,"613450 (2006 PY17)",2460600.5,0.6404,1.895,2.85,309.91,133.19,303.70,953
20613569,"613569 (2006 TU7)",2460600.5,0.4703,0.8513,2.95,91.35,69.22,242.73,287
20613714,"613714 (2007 DL41)",2460600.5,0.4765,1.457,4.67,150.72,140.23,286.02,642
20613726,"613726 (2007 EF)",2460600.5,0.4101,0.8203,21.73,158.34,226.04,348.52,271
20613986,"613986 (2008 JG)",2460600.5,0.2959,1.051,7.92,128.74,242.35,324.38,394
20614134,"614134 (2008 TC4)",2460600.5,0.5544,0.7804,10.65,212.54,324.35,320.86,252
20614433,"614433 (2009 KK)",2460600.5,0.4552,1.502,18.21,68.12,247.34,95.41,673
20614470,"614470 Flordeneu (2009 ST19)",2460600.5,0.5949,2.361,6.73,0.13,336.93,59.52,1.32e+03
20618350,"618350 (2021 PS2)",2460600.5,0.4735,1.554,7.92,163.29,79.01,257.34,708
20619106,"619106 (2005 SQ)",2460600.5,0.5748,1.654,1.20,317.11,294.98,28.92,777
20619920,"619920 (2006 KY86)",2460600.5,0.6486,2.294,7.47,222.29,321.65,114.32,1.27e+03
20620055,"620055 (2003 BK47)",2460600.5,0.7062,2.749,20.66,138.78,235.34,318.54,1.66e+03
20620056,"620056 (2004 UR1)",2460600.5,0.6164,2.175,4.08,250.92,73.45,99.22,1.17e+03
20620063,"620063 (2009 DH39)",2460600.5,0.6001,1.849,53.69,155.39,68.25,58.35,918
20620066,"620066 (2010 SC41)",2460600.5,0.6068,1.866,0.25,235.53,267.58,142.47,931
20620071,"620071 (2011 WN15)",2460600.5,0.8580,1.217,33.43,75.55,218.57,249.46,490
20620082,"620082 (2014 QL433)",2460600.5,0.7170,2.092,4.43,322.63,260.62,158.82,1.1e+03
20620084,"620084 (2014 WD201)",2460600.5,0.5026,2.095,8.47,105.68,199.82,158.22,1.11e+03
20620085,"620085 (2014 WG365)",2460600.5,0.3333,1.296,25.12,71.31,111.13,155.10,539
20620092,"620092 (2015 HB10)",2460600.5,0.5716,1.853,5.70,6.12,79.69,346.91,922
20620094,"620094 (2016 AJ193)",2460600.5,0.8163,3.261,22.57,331.16,82.14,185.53,2.15e+03
20620095,"620095 (2016 CB194)",2460600.5,0.6322,2.512,9.88,48.47,325.74,119.35,1.45e+03
20620096,"620096 Curupira (2016 HL)",2460600.5,0.6157,1.813,5.15,232.69,252.07,195.15,892
20620099,"620099 (2016 OP5)",2460600.5,0.4523,1.616,8.24,79.52,291.04,338.29,750
20620100,"620100 (2016 WJ1)",2460600.5,0.5031,1.34,2.89,81.99,87.77,345.15,566
20620103,"620103 (2018 LC3)",2460600.5,0.5479,1.346,44.36,111.17,76.26,55.37,570
